row_id,worksheet_version,review_pool_variant,rank,paper_id,title,final_score,bridge_eligible,was_previously_unlabeled_proposed_top20,relevance_label,novelty_label,bridge_like_label,reviewer_notes
d641eb306edb9310,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,1,https://openalex.org/W4417471638,Neural Audio Synthesis for Sound Effects: A Scope Review,-0.2,true,false,,,,
4ab546c2b31d57ed,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,2,https://openalex.org/W7126213550,"Potential and Pitfalls of Audio as Data for Political Research: Alignment, Features, and Classification Models",-0.2,true,false,,,,
6ca0e6ea9078cc5b,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,3,https://openalex.org/W7128741623,Melodies of the forest: Nature as an improvisational space for shared creative embodiment,-0.2,true,false,,,,
9a9ddea156ca3d44,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,4,https://openalex.org/W4415337516,Sparse Autoencoders Make Audio Foundation Models More Explainable,-0.2,true,false,,,,
c3ce663105117fc5,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,5,https://openalex.org/W4401445948,The Games We Play: Exploring the Impact of ISMIR on Musicology,-0.1895,true,false,,,,
c4804e5e614edf0b,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,6,https://openalex.org/W4413133017,"Music, humans, and machines: initial reflections for the development of research with collaboration between composers and artificial intelligence in the creative process of Brazilian music",-0.2,true,false,,,,
fb56d9935fe81140,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,7,https://openalex.org/W7155391647,A Focused Survey of Generative AI-Based Music Therapy Systems: Recent Progress and Open Challenges,-0.2,true,true,,,,
0118cf388961aa77,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,8,https://openalex.org/W4411141659,Distilling DDSP: Exploring Real-Time Audio Generation on Embedded Systems,0.487547,true,false,,,,
b635c83b86e019bc,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,9,https://openalex.org/W7150806375,Praat Audiotools: An offline analysis-resynthesis toolkit for experimental composition,-0.2,true,true,,,,
9497bd1134ea0fd3,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,10,https://openalex.org/W4404570638,The Sound of Water: Inferring Physical Properties from Pouring Liquids,-0.2,true,false,,,,
5c33caec9f1d0a13,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,11,https://openalex.org/W4414818544,TalkPlay-Tools: Conversational Music Recommendation with LLM Tool Calling,-0.2,true,false,,,,
b4365e956c7366ab,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,12,https://openalex.org/W7131744631,Audio-visual archiving project in Dagbon of Northern Ghana during the period 1999-2010,-0.2,true,true,,,,
46bdae15ff0b0b3a,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,13,https://openalex.org/W4414011891,Estimation and Restoration of Unknown Nonlinear Distortion Using Diffusion,0.541666,true,false,,,,
398620c3e4789995,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,14,https://openalex.org/W4414112292,Science of music-based citizen science: How seeing influences hearing,-0.2,true,true,,,,
fd603f72db3fda59,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,15,https://openalex.org/W7116661261,A Journey through the Unity Atlantic Rhythm Map,-0.2,true,true,,,,
1c35a72599209b63,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,16,https://openalex.org/W4409474100,Analysis of Human Participants in the Journal of the Audio Engineering Society,0.363726,true,false,,,,
1cdc29deb371e600,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,17,https://openalex.org/W4410025358,Designing Neural Synthesizers for Low-Latency Interaction,0.537667,true,false,,,,
5fcfb882aa396855,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,18,https://openalex.org/W4401727628,Charting the Universe of Metal Music Lyrics and Analyzing Their Relation to Perceived Audio Hardness,0.458894,true,false,,,,
42544265028276c5,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,19,https://openalex.org/W4412072230,Audio Signal Processing in the Artificial Intelligence Era: Challenges and Directions,0.447624,true,true,,,,
f73d18f79ca46379,ml-bridge-live-canary-top20-v1,ml_bridge_live_canary_top20_audit,20,https://openalex.org/W4414581097,Spotify Audio Features and Exercise Tolerance in Cycling: An Exploratory Analysis,-0.2,true,true,,,,
