row_id,worksheet_version,review_pool_variant,paper_id,openalex_work_id,work_id,title,year,citation_count,source_slug,topics,abstract_preview,sample_reason,cluster_id,relevance_label,novelty_label,bridge_like_label,reviewer_notes
a0ece7b9c6a4541911d41577be952abeb8934fd6eecd1a362d721220d4de994e,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W7125708441,W7125708441,W7125708441,Jangdan as Downbeats: Rhythm-Aware Tracking for Expressive Vocal Energy and Tempo Analysis in Korean Pansori,2026,0,,,"Computational musicology and music information retrieval research on Korean Pansori requires reliable analysis of vocal energy and tempo variation across rhythmic patterns known as jangdan. In this work, a jangdan is treated as a downbeat period: analogous to downbeats in Western music, it denotes both a rhythmic pattern type and the temporal span between...",cluster_stratified_seeded,c000,,,,
298dee76399e7cb023ea57cd64a092fd87123a037fd213ffdaf2e7a8fd090415,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W4417003557,W4417003557,W4417003557,Percussion and Instrumentation in Music Emotion Recognition: A Feature Engineering Approach,2025,0,,,"We propose a new set of features for audio-based Music Emotion Recognition (MER) that are related to percussion and individual instrument information. One limitation of current feature engineering approaches in MER is that they primarily focus on melodic elements. However, the percussive elements and instrumentation are also essential for conveying and re...",cluster_stratified_seeded,c000,,,,
024822b7b76d255be2a7ed3c1d30f991bf47386bf6a4be25db9b44cb49479086,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W4417103318,W4417103318,W4417103318,Automatic Music Sample Identification with Multi-Track Contrastive Learning,2026,0,,,"Sampling, the technique of reusing pieces of existing audio tracks to create new music content, is a very common practice in modern music production. In this paper, we tackle the challenging task of automatic sample identification, that is, detecting such sampled content and retrieving the material from which it originates. To do so, we adopt a self-super...",cluster_stratified_seeded,c000,,,,
1a07558050d5e6617d91b459940e4e994d3dea08d8c9ce77cafe9d7d65663d81,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W7104398342,W7104398342,W7104398342,Autoregressive ConvNeXt-transformer fusion framework for polyphonic optical music recognition with focal loss optimization,2025,0,,,"Optical music recognition technology has significantly enhanced the efficiency and accuracy of computational score transcription through deep learning methodologies. Although current techniques demonstrate strong performance in processing monophonic and single-voice scores, they struggle to achieve comparable accuracy when handling complex scores containi...",cluster_stratified_seeded,c000,,,,
d8e4af6e578082b6fcd2c1f21abba0430fe0390a08499d8e0184445b721d1545,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W7137545701,W7137545701,W7137545701,CollabScore OMR: A Hybrid System for Music Score Recognition,2026,0,,,"We present a new optical music recognition system developed as part of the CollabScore project. It addresses the problem of recognizing images of polyphonic music scores spanning multiple pages, and enables the generation of an editable document encoded in MEI or MusicXML. The system is based on a combination of AI techniques. On the one hand, graphical e...",cluster_stratified_seeded,c000,,,,
c77de87c096e950f9be79413f775ee1a9a8df30a04a52ec43e3f81aed9834782,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W7117477941,W7117477941,W7117477941,Deep Learning Methods for The Classification of Turkish Music Genres,2025,0,,,"Accurate classification of music genres is essential for the effective management of digital music archives and for improving the reliability of recommendation systems. Traditional approaches based on audio signal analysis often fail to utilize the rich semantic and structural information embedded in song lyrics. In this study, a deep learning-based metho...",cluster_stratified_seeded,c000,,,,
1f22ab240b1e98dbfc4331d1b57fdd613c9d10832fb19562ad1d814a95c33a8d,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W4416072320,W4416072320,W4416072320,Cross‐Modal Urban Sensing: Evaluating Sound-Vision Alignment Across Street‐Level and Aerial Imagery,2026,0,,,"ABSTRACT Environmental soundscapes carry rich ecological and social information, yet remain underutilized in geographic analysis. This study introduces a unified cross‐modal evaluation framework to examine how urban sounds align with visual representations from street‐level and aerial perspectives, and how different visual representation strategies influe...",cluster_stratified_seeded,c003,,,,
f76c37ed859ab506b28269a69ba4dcd964cc99abe629926e4c877408b47e718a,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W7155620296,W7155620296,W7155620296,DBAN-Net: a dual-branch attention network for acoustic fault detection in electrical power equipment,2026,0,,,"Acoustic signals emitted by electrical power equipment, such as transformers, generators, and circuit breakers, encode critical operational states. These signals enable non-contact, real-time condition monitoring, which is essential for predictive maintenance and grid reliability. However, traditional diagnostic methods struggle to detect multi-scale faul...",cluster_stratified_seeded,c003,,,,
94f63e3ad04551d95373187bc4a29c94103fc49f52202c446a11e17544bc2e3a,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W7134180106,W7134180106,W7134180106,"Sound Event Detection in Smart Cities: A Systematic Review of Methods, Datasets, and Applications",2026,0,,,"Sound Event Detection (SED) is a growing area with vast prospects for understanding and designing the sonic fabric of smart cities. In this paper, the latest advances in SED are summarized, focusing on models, datasets, and applications from scientific papers listed on Scopus and Web of Science. The paper provides a clear view of how SED is being used in...",cluster_stratified_seeded,c003,,,,
3dae6b9eaed815447fded430b290d06b41af563c4452e151efc9982994ffed73,ml-blind-snapshot-review-v2,ml_blind_snapshot_audit,https://openalex.org/W4406354622,W4406354622,W4406354622,Spatial Acoustic Loudspeaker Measurements With a Moving Microphone,2025,0,jaes,Acoustic Wave Phenomena Research;Speech and Audio Processing;Structural Health Monitoring Techniques,"Acoustic loudspeaker measurements are an essential aspect in loudspeaker development and design. Established setups usually require acoustic measurement rooms or chambers where the speaker under test has to be installed for conducting the tests. Furthermore, typical spatial measurements require that the speaker has to be rotated on one or two axes. In add...",cluster_stratified_seeded,c003,,,,
