ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,review_pool_variant,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,1,https://openalex.org/W4414199528,PESTO: Real‑Time Pitch Estimation with Self‑Supervised Transposition‑Equivariant Objective,2025,5,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,0.809091,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.454545,1,0.876733,0,true,good,surprising,yes,Self supervised pitch method connecting MIR pitch tasks with modern representation learning
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,2,https://openalex.org/W4414799845,On the Lack of a Perceptually Motivated Evaluation Metric for Packet Loss Concealment in Networked Music Performances,2025,3,jaes,Music Technology and Sound Studies;Speech and Audio Processing;Music and Audio Processing,0.745454,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.272727,1,0.886925,0,true,good,useful,yes,Connects perceptual evaluation design with networked music performance engineering
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,3,https://openalex.org/W4407236737,The GigaMIDI Dataset with Features for Expressive Music Performance Detection,2025,2,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.713636,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.181818,1,0.900149,0,true,good,useful,partial,Dataset plus expressive performance detection is valuable but bridge signal is moderate
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,4,https://openalex.org/W4412696666,Style-Based Composer Identification and Attribution of Symbolic Music Scores: A Systematic Survey,2025,1,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.681818,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.090909,1,0.942087,0,true,good,useful,yes,Bridges symbolic score analysis and MIR style attribution methods
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,5,https://openalex.org/W4411141659,Distilling DDSP: Exploring Real-Time Audio Generation on Embedded Systems,2025,1,jaes,Music Technology and Sound Studies;Music and Audio Processing;Speech and Audio Processing,0.681818,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.090909,1,0.986613,0,true,good,surprising,yes,Clear bridge from differentiable DSP synthesis to embedded realtime deployment
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,6,https://openalex.org/W4411141874,"Physical Modeling of a Spring Reverb Tank Incorporating Helix Angle, Damping, and Magnetic Bead Coupling",2025,1,jaes,Spacecraft and Cryogenic Technologies;Fluid Dynamics Simulations and Interactions;Oil and Gas Production Techniques,0.681818,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.090909,1,0.856039,0,true,good,useful,partial,Audio physical modeling with cross-domain mechanics flavor though bridge claim is moderate
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,7,https://openalex.org/W4410025413,Methods for Pitch Analysis in Contemporary Popular Music: Deviations From 12-Tone Equal Temperament in Vitalic's Work,2025,1,jaes,Music and Audio Processing;Diverse Musicological Studies;Music Technology and Sound Studies,0.681818,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.090909,1,0.96734,0,true,good,useful,yes,Bridges computational pitch analysis with musicological tuning interpretation
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,8,https://openalex.org/W4406354632,Producer vs. Rapper: Who Dominates the Hip Hop Sound?,2025,1,jaes,Music Technology and Sound Studies;Music and Audio Processing;Neuroscience and Music Perception,0.681818,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.090909,1,0.959798,0,true,acceptable,obvious,partial,Potentially useful sociotechnical angle but closer to in-domain analysis than strong bridge
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,9,https://openalex.org/W4409215217,Modeling Time-Variant Responses of Optical Compressors With Selective State Space Models,2025,3,jaes,Extremum Seeking Control Systems;Real-time simulation and control systems,0.678788,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.272727,1,0.972509,0.333333,true,good,useful,yes,Strong bridge between classic audio effects modeling and modern state-space ML methods
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,10,https://openalex.org/W4401237242,"Introducing the ""Cockpit Party Problem"": Blind Source Separation Enhances Aircraft Cockpit Speech Transcription",2025,1,jaes,Speech and Audio Processing;Blind Source Separation Techniques;Vehicle Noise and Vibration Control,0.654735,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.090909,0.958333,0.870318,0,true,good,useful,yes,Bridges source separation methods into aviation cockpit speech domain
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,11,https://openalex.org/W7134965261,Investigating Auditory-Visual Perception Using Multi-Modal Neural Networks with the SoundActions Dataset,2026,0,tismir,Music and Audio Processing;Multisensory perception and integration;Tactile and Sensory Interactions,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.969767,0,true,good,useful,yes,Connects multimodal ML perception with music and audio interaction datasets
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,12,https://openalex.org/W4415947443,Beyond a Western Center of Music Information Retrieval: A Bibliometric Analysis of the First 25 Years of ISMIR Authorship,2025,0,tismir,Music and Audio Processing;Diverse Musicological Studies;Information Retrieval and Search Behavior,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.862858,0,true,good,useful,yes,Bridges MIR community analysis with bibliometrics and diversity critique
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,13,https://openalex.org/W4414019760,Optimising Computational Measures from Behavioural Data Predicts Perceived Consonance,2025,0,tismir,Neuroscience and Music Perception;Music and Audio Processing;Hearing Loss and Rehabilitation,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.899929,0,true,good,useful,yes,Strong link between behavioral perception experiments and computational consonance modeling
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,14,https://openalex.org/W4408635446,"Correction: Salsa, a Dataset for Beat Estimation in Salsa Music",2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.883214,0,true,miss,not_useful,no,Correction notice is weak as a recommendation artifact despite relevant underlying dataset
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,15,https://openalex.org/W4410033452,Cross‑Modal Approaches to Beat Tracking: A Case Study on Chopin Mazurkas,2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Musicology and Musical Analysis,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.89162,0,true,good,surprising,yes,Clear bridge across score-informed musicology and cross-modal beat tracking methods
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,16,https://openalex.org/W4410784756,Predicting Eurovision Song Contest Results: A Hit Song Science Approach,2025,0,tismir,Music and Audio Processing;Music History and Culture;Diverse Musicological Studies,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.927206,0,true,acceptable,useful,partial,Connects music analytics with cultural event prediction but bridge strength is moderate
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,17,https://openalex.org/W4411216760,Nuanced Music Emotion Recognition via a Semi-Supervised Multi-Relational Graph Neural Network,2025,0,tismir,Music and Audio Processing;Neuroscience and Music Perception;Music Technology and Sound Studies,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.894747,0,true,good,useful,yes,Strong bridge from affective neuroscience concepts to graph-based MIR modeling
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge_eligible_only,bridge,18,https://openalex.org/W4414011891,Estimation and Restoration of Unknown Nonlinear Distortion Using Diffusion,2025,0,jaes,Infrared Target Detection Methodologies;Image and Signal Denoising Methods;Optical Systems and Laser Technology,0.65,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,1,0.850404,0,true,good,surprising,yes,Unexpected but meaningful bridge of diffusion restoration methods into audio distortion modeling
