ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,family,review_pool_variant,family_rank,paper_id,work_id,title,year,citation_count,source_slug,topics,final_score,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,reason_short,sample_reason,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,40,https://openalex.org/W7128595024,W7128595024,High-Resolution Directivity Measurements of an Artificial Head and Mouth Shaped to Three Vowels,2026,0,jaes,Voice and Speech Disorders;Phonetics and Phonology Research;Hearing Loss and Rehabilitation,0.65,,0,1,0.776766,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,lower_rank_window,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,41,https://openalex.org/W4414799719,W4414799719,Evaluating Reverberation Models for Augmented Reality,2025,0,jaes,Speech and Audio Processing;Indoor and Outdoor Localization Technologies;Underwater Acoustics Research,0.65,,0,1,0.777118,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,lower_rank_window,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,45,https://openalex.org/W4412072221,W4412072221,Copy-Move Audio Forgery Detection Using Dominant Resonance Frequencies and Dynamic Time Warping,2025,0,jaes,Digital Media Forensic Detection;Music and Audio Processing;Music Technology and Sound Studies,0.65,,0,1,0.932987,0,true,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,lower_rank_window,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,46,https://openalex.org/W4412072224,W4412072224,Effects of Reduced Information in the Performance of Low-Frequencies Sound Zones,2025,0,jaes,Acoustic Wave Phenomena Research;Aerodynamics and Acoustics in Jet Flows;Hearing Loss and Rehabilitation,0.65,,0,1,0.839377,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,lower_rank_window,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,47,https://openalex.org/W4411141538,W4411141538,Generating Music Reactive Videos by Applying Network Bending to Stable Diffusion,2025,0,jaes,Music Technology and Sound Studies;Simulation and Modeling Applications;Video Analysis and Summarization,0.65,,0,1,0.96786,0,true,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,lower_rank_window,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,1,https://openalex.org/W4409215215,W4409215215,Issues and Challenges of Audio Technologies for the Musical Metaverse,2025,11,jaes,Music Technology and Sound Studies,0.866667,,1,1,0.889527,0.666667,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,median_borderline,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,2,https://openalex.org/W4408772031,W4408772031,CCMusic: An Open and Diverse Database for Chinese Music Information Retrieval Research,2025,5,tismir,Music and Audio Processing;Diverse Musicological Studies;Music Technology and Sound Studies,0.809091,,0.454545,1,0.672552,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,median_borderline,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,4,https://openalex.org/W4409967775,W4409967775,ChoraleBricks: A Modular Multitrack Dataset for Wind Music Research,2025,3,tismir,Music and Audio Processing;Music Technology and Sound Studies;Animal Vocal Communication and Behavior,0.745454,,0.272727,1,0.766523,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,median_borderline,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,5,https://openalex.org/W4412900768,W4412900768,STAR Drums: A Dataset for Automatic Drum Transcription,2025,3,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.745454,,0.272727,1,0.763029,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,bridge_ineligible,,,,
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,bridge,ml_contrastive_offline_audit,7,https://openalex.org/W4411649085,W4411649085,The AI Music Arms Race: On the Detection of AI-Generated Music,2025,2,tismir,Music and Audio Processing;Music Technology and Sound Studies;Time Series Analysis and Forecasting,0.713636,,0.181818,1,0.801144,0,false,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,bridge_ineligible,,,,
