ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,1,https://openalex.org/W4415947443,Beyond a Western Center of Music Information Retrieval: A Bibliometric Analysis of the First 25 Years of ISMIR Authorship,2025,0,tismir,Music and Audio Processing;Diverse Musicological Studies;Information Retrieval and Search Behavior,0.387129,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.553042,,0,,good,surprising,not_applicable,Strong undercited discovery; directly analyzes representation and Western-centricity in ISMIR authorship, useful for understanding MIR field bias and corpus scope.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,2,https://openalex.org/W7119099299,Supervised Contrastive Models for Music Information Retrieval in Classical Persian Music,2026,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Music Education Insights,0.362502,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.51786,,0,,good,surprising,not_applicable,Strong low-cite discovery; applies supervised contrastive MIR methods to Classical Persian music, expanding beyond Western/pop-centric evaluation settings.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,3,https://openalex.org/W4410033452,Cross‑Modal Approaches to Beat Tracking: A Case Study on Chopin Mazurkas,2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Musicology and Musical Analysis,0.362502,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.51786,,0,,good,useful,not_applicable,Relevant low-cite MIR paper; cross-modal beat tracking over Chopin Mazurkas is useful for symbolic/audio alignment and evaluation, though narrower than the strongest discoveries.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,4,https://openalex.org/W7133229896,Predicting Perceived Semantic Expression of Functional Sounds Using Unsupervised Feature Extraction and Ensemble Learning,2026,0,tismir,Music and Audio Processing;Emotion and Mood Recognition;Music Technology and Sound Studies,0.362502,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.51786,,0,,acceptable,useful,not_applicable,Relevant audio/perception ML work, but more about functional UI/UX sounds than core MIR/music discovery; useful but slightly off-slice.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,5,https://openalex.org/W7128803784,RWC Revisited: Towards a Community-Driven MIR Corpus,2026,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.218912,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.312732,,0,,good,surprising,not_applicable,Strong undercited resource paper; revisits a foundational MIR corpus with community-driven dataset/infrastructure framing, likely valuable despite low citations.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,6,https://openalex.org/W4408635446,"Correction: Salsa, a Dataset for Beat Estimation in Salsa Music",2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.218912,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.312732,,0,,acceptable,useful,not_applicable,The underlying salsa beat-estimation dataset is relevant and culturally useful, but this row is a correction notice rather than the main dataset paper, so it is weaker as a recommendation.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,7,https://openalex.org/W4312132329,Dual Task Monophonic Singing Transcription,2022,0,jaes,Music and Audio Processing;Diverse Musicological Studies;Music Technology and Sound Studies,0.218912,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.312732,,0,,acceptable,useful,not_applicable,Relevant MIR/audio task paper on singing transcription, but narrower and less clearly high-value as an undercited discovery than the corpus/evaluation papers above.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,8,https://openalex.org/W4410091503,Towards an 'Everything Corpus': A Framework and Guidelines for the Curation of More Comprehensive Multimodal Music Data,2025,2,tismir,Music and Audio Processing;Diverse Musicological Studies;Natural Language Processing Techniques,0.216776,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0.102041,0.386375,,0.337195,,good,surprising,not_applicable,Strong undercited discovery; proposes framework/guidelines for comprehensive multimodal music data curation, directly useful for corpus and evaluation design.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,9,https://openalex.org/W4413990340,Smartwatch-Based Audio-Gestural Insights in Violin Bow Stroke Analyses,2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.200964,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.287091,,0,,acceptable,useful,not_applicable,Relevant multimodal music-performance analysis using smartwatch audio/gesture data; useful and novel instrumentation angle, but narrower for the current Research Radar slice.
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,undercited,10,https://openalex.org/W4410824464,MGPHot: A Dataset of Musicological Annotations for Popular Music (1958-2022),2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.200964,"Low-cite candidate pool (see docs/candidate-pool-low-cite.md v0): core corpus, recency floor, citation ceiling, title+abstract gate; popularity penalty among pool members only. Semantic and bridge not yet modeled.",,0,0.287091,,0,,good,surprising,not_applicable,Strong low-cite dataset/resource paper; large popular-music annotation corpus is useful for MIR, musicology, and recommendation/evaluation work.
